model1,model2,p value,cohen value
20/1EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.590702269384672
20/1EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,4.496141181980068
20/1MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.424103317547972
20/1MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.9979435076606027
20/5EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.352863102749248
20/5EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.2896077148997596
20/5MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.512063851500106
20/5MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,4.229308040247914
20/10EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.805638590504919
20/10EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.9260313789954133
20/10MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.765833519526148
20/10MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.061630297532534
20/15EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.596000628805958
20/15EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,5.6511363620978265
20/15MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.363523582588795
20/15MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.8908062184362953
20/20EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.102293033357782
20/20EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,4.46265034710976
20/20MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-6.181399489209509
20/20MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,3.5499355481959878
20/30EKNNMushroom20.csv,20/dtMushroom20.csv,1.8879793657162556e-05,2.784882858719013
20/30EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-5.7917698017310055
20/30EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,7.165556001404075
20/30MKNNMushroom20.csv,20/dtMushroom20.csv,0.00017011925273829754,2.18767240072607
20/30MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-5.599235494355463
20/30MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,5.531745740240051
20/50EKNNMushroom20.csv,20/dtMushroom20.csv,1.8879793657162556e-05,3.367295002360709
20/50EKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-4.140294640613763
20/50EKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,5.637443119489999
20/50MKNNMushroom20.csv,20/dtMushroom20.csv,1.8879793657162556e-05,4.79555510352309
20/50MKNNMushroom20.csv,20/nbMushroom20.csv,1.8879793657162556e-05,-4.617806629036083
20/50MKNNMushroom20.csv,20/svmMushroom20.csv,1.8879793657162556e-05,8.2896803515523
20/1EKNNGlass20.csv,20/nbGlass20.csv,1.8879793657162556e-05,-1.588567424138805
20/1EKNNGlass20.csv,20/svmGlass20.csv,0.006898647100946122,-1.674302579258067
20/1MKNNGlass20.csv,20/nbGlass20.csv,0.00017011925273829754,-1.3567714073757264
20/5EKNNGlass20.csv,20/nbGlass20.csv,1.8879793657162556e-05,-1.325415701268423
20/5EKNNGlass20.csv,20/svmGlass20.csv,0.031046781145641363,-1.0426562713783138
20/5MKNNGlass20.csv,20/nbGlass20.csv,0.006898647100946122,-1.1020051501001198
20/10EKNNGlass20.csv,20/nbGlass20.csv,0.031046781145641307,-0.971598703082906
20/10MKNNGlass20.csv,20/nbGlass20.csv,0.006898647100946122,-1.116887819365218
20/15EKNNGlass20.csv,20/nbGlass20.csv,0.006898647100946128,-1.0692452620215303
20/15MKNNGlass20.csv,20/dtGlass20.csv,0.006898647100946128,1.4597492186714918
20/15MKNNGlass20.csv,20/nbGlass20.csv,0.031046781145641307,-0.7603901416539487
20/20EKNNGlass20.csv,20/nbGlass20.csv,0.031046781145641307,-0.9747401288101816
20/30EKNNGlass20.csv,20/dtGlass20.csv,0.0012162112998959323,1.7657344962311556
20/30EKNNGlass20.csv,20/svmGlass20.csv,0.006898647100946128,1.1218667665002093
20/30MKNNGlass20.csv,20/dtGlass20.csv,0.031046781145641363,1.1510651980722166
20/50EKNNGlass20.csv,20/dtGlass20.csv,1.8879793657162556e-05,2.669559517144529
20/50EKNNGlass20.csv,20/nbGlass20.csv,0.031046781145641307,1.0077413886105444
20/50EKNNGlass20.csv,20/svmGlass20.csv,0.00017011925273829754,2.3336860502686094
20/50MKNNGlass20.csv,20/dtGlass20.csv,1.8879793657162556e-05,3.1608898531192766
20/50MKNNGlass20.csv,20/nbGlass20.csv,0.006898647100946128,1.2876310006314995
20/50MKNNGlass20.csv,20/svmGlass20.csv,1.8879793657162556e-05,2.7989272081984162
20/5EKNNAppendicitis20.csv,20/dtAppendicitis20.csv,0.006898647100946128,-1.5477473007281353
20/5EKNNAppendicitis20.csv,20/nbAppendicitis20.csv,0.00017011925273829754,-1.5487275936050684
20/5EKNNAppendicitis20.csv,20/svmAppendicitis20.csv,0.0012162112998959323,-1.8321963018912057
20/5MKNNAppendicitis20.csv,20/dtAppendicitis20.csv,0.031046781145641307,-1.3954919208808982
20/5MKNNAppendicitis20.csv,20/nbAppendicitis20.csv,0.0012162112998959323,-1.4216599560456094
20/5MKNNAppendicitis20.csv,20/svmAppendicitis20.csv,0.006898647100946128,-1.4635851144801468
20/10MKNNAppendicitis20.csv,20/dtAppendicitis20.csv,0.031046781145641363,-1.174588850541387
20/10MKNNAppendicitis20.csv,20/nbAppendicitis20.csv,0.031046781145641363,-1.2332596418212827
