model1,model2,p value,cohen value
1EKNNGlass20,20EKNNGlass20,0.00019816821737552053,-1.8537772225308022
1EKNNGlass20,30EKNNGlass20,2.5515898487242876e-06,-2.664140076846429
1EKNNGlass20,50EKNNGlass20,3.588993204003962e-05,-3.0939101836630587
5EKNNGlass20,10EKNNGlass20,0.04255703222398447,-0.9841476147103303
5EKNNGlass20,15EKNNGlass20,0.04954070752478785,-0.9346849927737826
5EKNNGlass20,20EKNNGlass20,0.004213158969714571,-1.13975318609647
5EKNNGlass20,30EKNNGlass20,0.00032204013377188425,-2.1962256682257744
5EKNNGlass20,50EKNNGlass20,4.920534436728775e-05,-2.8401314085974976
10EKNNGlass20,30EKNNGlass20,0.013923682403294727,-1.2661181589923085
10EKNNGlass20,50EKNNGlass20,1.4832391915119188e-05,-2.411654004551745
15EKNNGlass20,30EKNNGlass20,0.0035932830545165693,-1.5404048040203822
15EKNNGlass20,50EKNNGlass20,5.247461488243475e-05,-2.5453401183681645
20EKNNGlass20,30EKNNGlass20,0.007015197653967888,-1.308904056222213
20EKNNGlass20,50EKNNGlass20,0.00016362393708911025,-2.4327853687205856
30EKNNGlass20,50EKNNGlass20,0.004166510022000901,-1.6719860479949202
1MKNNGlass20,15MKNNGlass20,0.0031477292585822114,-1.8759607266110188
1MKNNGlass20,20MKNNGlass20,0.0018814550142182652,-1.4035141704280434
1MKNNGlass20,30MKNNGlass20,0.0035956728120098754,-1.3035890684306253
1MKNNGlass20,50MKNNGlass20,1.314916290688216e-05,-3.314021783786284
5MKNNGlass20,15MKNNGlass20,0.021836411671415333,-1.1243167297122385
5MKNNGlass20,30MKNNGlass20,0.0160647005918147,-1.0379370614548298
5MKNNGlass20,50MKNNGlass20,7.207516301776364e-05,-3.0429840172164204
10MKNNGlass20,15MKNNGlass20,0.011555269164784566,-1.2467125712220841
10MKNNGlass20,30MKNNGlass20,0.015478953265618748,-1.0533010477806872
10MKNNGlass20,50MKNNGlass20,7.700518176214894e-06,-3.0796759387057544
15MKNNGlass20,50MKNNGlass20,5.4609579214322194e-05,-2.722684741691558
20MKNNGlass20,50MKNNGlass20,3.8701310275943015e-05,-2.5749699916651325
30MKNNGlass20,50MKNNGlass20,0.002196391158518819,-1.4036443069647089
1EKNNAppendicitis20,5EKNNAppendicitis20,0.008985940450132419,1.2443766373217238
5EKNNAppendicitis20,10EKNNAppendicitis20,0.009699821336634273,-1.0539980628132588
5EKNNAppendicitis20,15EKNNAppendicitis20,0.025346496823463224,-0.9424638265665213
5EKNNAppendicitis20,20EKNNAppendicitis20,0.002031317442270966,-1.570208395315576
5EKNNAppendicitis20,30EKNNAppendicitis20,0.0002589571850554252,-2.5229178768242124
5EKNNAppendicitis20,50EKNNAppendicitis20,0.02444345752289144,-1.0469507319626115
1MKNNAppendicitis20,5MKNNAppendicitis20,0.04585415542281681,1.0383771706848588
5MKNNAppendicitis20,15MKNNAppendicitis20,0.018393971780734496,-1.3746617700878336
5MKNNAppendicitis20,20MKNNAppendicitis20,0.008092329814220162,-1.3605385466434845
5MKNNAppendicitis20,30MKNNAppendicitis20,0.004354271226898275,-1.5698861093648762
5MKNNAppendicitis20,50MKNNAppendicitis20,0.020602166706633642,-1.1744551140262414
10MKNNAppendicitis20,15MKNNAppendicitis20,0.038052218761075396,-0.9647601944610046
10MKNNAppendicitis20,20MKNNAppendicitis20,0.046081353483513374,-0.9574177059125745
10MKNNAppendicitis20,30MKNNAppendicitis20,0.0004986981666825841,-1.0566519806997
10MKNNAppendicitis20,50MKNNAppendicitis20,0.04379772282328472,-0.8593055447431903
